                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.6443,                 1.2362,                 1.3354,                0.34748,                0.10419,                 0.1288,                0.04839,                 3.0194,                 4.2832,                 2.0964,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.6205,                 1.2155,                 1.3185,                0.44333,                 0.0883,                0.11859,                0.03762,                 3.1175,                  4.638,                 2.2001,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.5991,                 1.2067,                 1.3089,                0.38553,                 0.1213,                0.13761,                0.04205,                 3.1421,                 4.1436,                 2.2036,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.5982,                 1.1869,                 1.3068,                0.49565,                0.08077,                0.10744,                0.03862,                 3.1267,                  4.768,                 2.2397,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.5981,                 1.1723,                 1.2962,                0.51299,                0.09746,                0.14236,                 0.0496,                  3.027,                 4.5773,                 2.1279,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.5799,                 1.1516,                 1.2914,                0.30753,                 0.1051,                0.12453,                0.03843,                 3.1186,                 4.2993,                 2.1974,              0.0007228,              0.0007228,              0.0007228
                     31,                  1.578,                 1.1431,                 1.2786,                0.32758,                0.09624,                0.11782,                0.04276,                 3.0494,                  4.583,                 2.1194,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.5473,                 1.1163,                  1.266,                0.40893,                0.07883,                0.11036,                0.04123,                 2.9228,                 4.6772,                  2.162,               0.000703,               0.000703,               0.000703
                     33,                 1.5476,                 1.1232,                 1.2689,                0.41794,                0.13138,                0.15647,                0.04888,                 3.0101,                 4.0059,                 2.1732,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.5462,                  1.122,                 1.2612,                0.55232,                0.11335,                0.15555,                0.04772,                 3.0377,                 4.4117,                 2.1318,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.5422,                 1.1164,                 1.2592,                0.50299,                0.08677,                0.11604,                0.04031,                 3.0255,                 4.7023,                 2.1976,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.5465,                 1.1117,                 1.2602,                0.32683,                0.10651,                 0.1266,                0.03193,                 3.2753,                  4.341,                 2.3535,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.5589,                 1.1063,                 1.2667,                 0.4252,                0.07074,                0.09619,                0.02978,                 3.1064,                 5.0503,                 2.1365,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.5131,                 1.0762,                 1.2416,                0.50599,                0.08402,                0.13969,                0.04882,                  2.986,                 4.4224,                 2.1956,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.5106,                 1.0649,                  1.243,                 0.4621,                0.08524,                0.11281,                0.03575,                 3.0785,                 4.9266,                 2.1613,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.5061,                  1.057,                 1.2383,                0.52173,                0.09624,                0.14324,                0.04811,                 3.0405,                 4.7147,                 2.1277,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.5203,                  1.069,                 1.2452,                  0.439,                0.10632,                0.14561,                0.04996,                 2.9967,                 4.4458,                 2.1417,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.4967,                 1.0534,                 1.2311,                0.50979,                0.08555,                0.12505,                0.04755,                 3.0032,                 4.8301,                 2.1404,               0.000604,               0.000604,               0.000604
                     43,                 1.4833,                 1.0256,                 1.2231,                0.46361,                 0.0883,                0.13122,                0.04543,                 3.0915,                 4.7563,                 2.2442,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.4707,                 1.0295,                 1.2149,                 0.4243,                0.09991,                0.12884,                0.04285,                  3.072,                 4.6023,                 2.2157,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.4747,                 1.0184,                 1.2188,                 0.4454,                0.13046,                0.16109,                0.05473,                  3.048,                 4.3394,                 2.1364,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.4655,                 1.0176,                 1.2159,                0.41554,                 0.1048,                0.14312,                0.04859,                 3.0509,                 4.4877,                 2.1609,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.4644,                  1.007,                 1.2051,                0.34382,                0.11152,                0.14593,                 0.0517,                 3.0489,                 4.3598,                 2.1937,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.4663,                 1.0049,                 1.2143,                  0.361,                0.10694,                0.14154,                0.04671,                 3.0858,                 4.4266,                 2.2197,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.4587,                0.99339,                 1.2052,                0.56225,                0.08158,                  0.122,                0.04523,                 3.1129,                 5.0178,                 2.2321,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.4419,                0.98906,                 1.2014,                0.46673,                0.14513,                0.17451,                0.06366,                 2.9588,                 4.1527,                 2.1307,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.4481,                0.99598,                  1.201,                   0.47,                0.09899,                0.14113,                0.05392,                 3.0393,                 4.4528,                 2.2607,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.4418,                0.98825,                 1.1938,                0.39063,                0.09166,                0.11956,                0.04419,                 3.0073,                  4.563,                 2.1761,               0.000505,               0.000505,               0.000505
                     53,                 1.4293,                0.97936,                 1.1913,                 0.3832,                0.10144,                0.14588,                0.05786,                 3.0267,                  4.728,                 2.1751,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.4274,                0.96941,                 1.1914,                0.62413,                0.07791,                 0.1122,                0.04174,                 3.0403,                 5.1789,                 2.1627,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.4343,                0.96486,                 1.1909,                0.41904,                0.10174,                0.13821,                0.04178,                 3.1108,                 4.6006,                 2.2504,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.4012,                0.95023,                 1.1758,                 0.4551,                0.11916,                0.15708,                0.05586,                 3.0198,                 4.4302,                 2.1556,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.4101,                0.94178,                 1.1793,                0.55913,                0.08158,                0.12073,                0.04298,                 3.0751,                 4.8374,                  2.304,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.4097,                 0.9486,                 1.1767,                0.52007,                0.07944,                0.12524,                0.04904,                 3.0473,                  5.028,                 2.2067,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.4062,                0.93823,                 1.1739,                0.36122,                0.09917,                0.12949,                0.04883,                 3.0755,                 4.5933,                 2.2351,              0.0004357,              0.0004357,              0.0004357
